Well Name,Live Count,Live Cells/mL,Live Mean Size,Viability,Dead Count,Dead Cells/mL,Dead Mean Size,Total Count,Total Cells/mL,Total Mean Size,Note:,Errors:
DN871908M:A1,1074,2030000,9.35,75.00%,361,682000,2.36,1435,2710000,9.36,,
DN871908M:B1,1074,2030000,8.84,76.00%,341,644000,2.34,1415,2670000,9.06,,
DN871908M:C1,1218,2300000,8.81,75.00%,396,748000,2.21,1614,3050000,8.86,,
DN871908M:D1,1111,2100000,9.23,75.00%,371,700000,2.38,1482,2800000,9.31,,
DN871908M:E1,1208,2280000,8.77,75.00%,396,748000,2.3,1604,3030000,8.9,,
DN871908M:F1,1120,2110000,8.74,75.00%,377,712000,2.34,1497,2820000,8.88,,
DN871908M:G1,1177,2220000,8.79,76.00%,374,705000,2.14,1551,2930000,8.8,,
DN871908M:H1,1029,1940000,8.37,74.00%,357,675000,2.35,1386,2610000,8.57,,
